,avg_salary,company,job title,location,company_type,company_sector,age,max_salary,title
58,67.5,Breega,Environmental Data Scientist @Carbon Maps,Paris,Company - Private,Financial Services,10,75,junior
59,67.5,Capgemini,Data Scientist H/F,Paris,Company - Public,Information Technology,56,75,junior
60,50.0,Numberly,Data Analyst Programmatique,Paris,Company - Public,Media & Communication,23,60,junior
61,50.0,Insitoo,Data Analyst Junior (H/F),Lille,Company - Private,Human Resources & Staffing,16,60,junior
62,50.0,Rubix,Pricing Data Analyst - Lyon,Lyon,Company - Private,Information Technology,14,60,junior
63,50.0,Numberly,Marketing Data Analyst,Paris,Company - Public,Media & Communication,23,60,junior
64,50.0,Licorne Society,Data Analyst - startups,Paris,Company - Private,-1,-1,60,junior
65,50.0,Numberly,Data Analyst Programmatic,Paris,Company - Public,Media & Communication,23,60,junior
66,50.0,INFORMATIS,Analyste DATA,Nogent-sur-Seine,Company - Private,-1,52,60,junior
67,50.0,Natixis,Data Analyst (F/H) - Financing Global Trade Finance & BI,Charenton-le-Pont,Company - Private,Financial Services,17,60,junior
68,50.0,Clarins,CDD – CRM Data Analyst,Neuilly-sur-Seine,Company - Private,Manufacturing,69,60,junior
69,50.0,McKinsey & Company,"Data Scientist (full time, all seniority levels) - QuantumBlack",Paris,Company - Private,Management & Consulting,14,60,junior
70,50.0,EY,Consultant(e) / Manager - Data Analytics & Automatisation - FAAS - Lille - H/F,Lille,Unknown,-1,-1,60,junior
71,50.0,APRIL,Data Scientist,Lyon,Company - Public,Insurance,25,60,junior
72,50.0,AXA,Business Data Analyst - Operations,Puteaux,Company - Private,Insurance,38,60,junior
73,50.0,Le Groupe La Poste,Data Analyst Export,Paris,Company - Private,Financial Services,32,60,junior
74,50.0,1Dsolutions,Consultant Data analyst,Paris,-1,-1,-1,60,junior
75,50.0,Thales,Ingénieur Data Analyst F/H,Lille,Company - Public,Aerospace & Defense,23,60,junior
76,50.0,Canal Plus,CDI - data Analyst,Puteaux,Company - Public,Media & Communication,39,60,junior
77,50.0,AUCHAN RETAIL SERVICES,Data Analyst F/H,Villeneuve-d'Ascq,Company - Private,Retail & Wholesale,42,60,junior
78,50.0,Nature et découvertes,Data Analyst F/H,Versailles,Unknown,Retail & Wholesale,33,60,junior
79,50.0,EY,Consultant Data Analyst Débutant F/H - Septembre 2022,Paris,Unknown,-1,-1,60,junior
80,50.0,Natixis,Data Analyst - Trade Finance & BI (F/H),Charenton-le-Pont,Company - Private,Financial Services,17,60,junior
81,50.0,CGI FINANCE,Product Data Analyst Senior,Lille,Company - Private,Financial Services,72,60,Senior
82,50.0,mediametrie,CDI - Data Analyst/Scientist F/H,Paris,Company - Private,Media & Communication,38,60,junior
83,50.0,Mirakl - French,Data Analyst,Paris,Company - Private,Information Technology,12,60,junior
84,50.0,FED IT,Analyste Données - PowerBI (H/F),Guyancourt,Company - Private,Human Resources & Staffing,13,60,junior
85,50.0,SumUp,Product Data Analyst,Paris,Company - Private,Financial Services,11,60,junior
86,50.0,Akkodis,Ingénieur Data Scientist Junior H/F,Paris,Subsidiary or Business Segment,Human Resources & Staffing,29,60,junior
87,50.0,Moët Hennessy Wines & Spirits,Business Data Analyst,Paris,Subsidiary or Business Segment,Manufacturing,258,60,junior
88,50.0,Nexton Consulting FR,Business Analyst Data H/F,Paris,Company - Private,Management & Consulting,12,60,junior
89,50.0,Rubix,Data Analyst - Lyon,Lyon,Company - Private,-1,-1,60,junior
90,50.0,Natixis,Data Analyst - Trade Finance & BI (F/H),Charenton-le-Pont,Company - Private,Financial Services,17,60,junior
91,50.0,INFORMATIS,Analyste DATA,Nogent-sur-Seine,Company - Private,-1,52,60,junior
92,50.0,Numberly,Marketing Data Analyst,Paris,Company - Public,Media & Communication,23,60,junior
93,50.0,EY,Consultant(e) / Manager - Data Analytics & Automatisation - FAAS - Lille - H/F,Lille,Unknown,-1,-1,60,junior
94,50.0,CGI FINANCE,Product Data Analyst Senior,Lille,Company - Private,Financial Services,72,60,Senior
95,50.0,APRIL,Data Scientist,Lyon,Company - Public,Insurance,25,60,junior
96,50.0,Clarins,CDD – CRM Data Analyst,Neuilly-sur-Seine,Company - Private,Manufacturing,69,60,junior
97,50.0,Le Groupe La Poste,Data Analyst Export,Paris,Company - Private,Financial Services,32,60,junior
98,50.0,Numberly,Data Analyst Programmatic,Paris,Company - Public,Media & Communication,23,60,junior
99,50.0,SumUp,Product Data Analyst,Paris,Company - Private,Financial Services,11,60,junior
100,50.0,Natixis,Business Analyst - IT Financing Data & BI (F/H) CIO CIB,Paris,Company - Private,Financial Services,17,60,junior
101,50.0,Banque Populaire de Val de France,Data Analyst Senior H/F,Montigny-le-Bretonneux,Company - Public,Financial Services,14,60,Senior
102,50.0,ENERCON,Data Analyst (H/F),Nantes,Company - Private,"Energy, Mining & Utilities",39,60,junior
103,50.0,Artefact,Data Scientist,Paris,Company - Private,Management & Consulting,9,60,junior
104,50.0,Akkodis,Ingénieur Data Scientist Junior H/F,Paris,Subsidiary or Business Segment,Human Resources & Staffing,29,60,junior
