,avg_salary,company,job title,location,company_type,company_sector,age,max_salary,title
251,50.0,Damart,Data analyst senior - H/F,Roubaix,Unknown,Manufacturing,-1,55,junior
252,50.0,Inetum,Data Analyst Industrie 4.0 H/F,Toulouse,Company - Private,Information Technology,53,55,junior
253,50.0,innovation e-Santé Sud ieSS,Data Scientist H/F,Hyères,-1,-1,-1,55,junior
254,50.0,INFORMATIS,Analyste DATA,Nogent-sur-Seine,Company - Private,-1,52,55,junior
255,50.0,Numberly,Data Scientist,Paris,Company - Public,Media & Communication,23,55,junior
256,50.0,TOYOTA MATERIAL HANDLING FRANCE,Data Analyst CRM,Bussy-Saint-Georges,Company - Private,"Construction, Repair & Maintenance Services",56,55,junior
257,50.0,Numberly,Data Analyst Programmatique,Paris,Company - Public,Media & Communication,23,55,junior
258,50.0,Cognira,Junior Data Scientist,Lille,Company - Private,Information Technology,8,55,junior
259,50.0,HURRYMAN,Consultant Senior / Manager : Data Analyst (H/F),Paris,Company - Private,Human Resources & Staffing,8,55,Senior
260,50.0,Le Groupe La Poste,Data Analyst Export,Paris,Company - Private,Financial Services,32,55,junior
261,50.0,ALEIA,Data scientist,Paris,-1,-1,-1,55,junior
262,50.0,FED Finance,DATA ANALYST (études stratégiques) H/F,Paris,Company - Private,Human Resources & Staffing,13,55,junior
263,50.0,CGI FINANCE,Data Scientist H/F,France,Company - Private,Financial Services,72,55,junior
264,50.0,Insitoo,Data Analyst Junior (H/F),Lille,Company - Private,Human Resources & Staffing,16,55,junior
265,50.0,AUSY,Data Analyst,Wasquehal,Company - Private,Management & Consulting,34,55,junior
266,50.0,Sightengine,"Computer Vision ML, Data scientist",Télétravail,Company - Private,-1,-1,55,junior
267,50.0,MAIF,Data Scientist - Computer Vision - NIORT ou PARIS H/F,Paris,Company - Private,Insurance,89,55,junior
268,50.0,Peroptyx,Analyste de données H/F,Paris,Company - Private,Information Technology,5,55,junior
269,50.0,Atmosphères,Data Analyst H/F,Bois-d'Arcy,Company - Private,Human Resources & Staffing,21,55,junior
